NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Bannockburn,Bannockburn Primary School,27 High Street Bannockburn,Polwarth,Western Victoria,7.55,6.91,Bannockburn Primary School,27 High Street Bannockburn,-38.04609,144.169922
Barwon,South Geelong Primary School,200 Yarra Street Geelong,Geelong,Western Victoria,19.33,12.71,South Geelong Primary School,200 Yarra Street Geelong,-38.156498,144.358987
Barwon Heads,Barwon Heads Primary School,Golf Links Road Barwon Heads,Bellarine,Western Victoria,21.55,18.55,Barwon Heads Primary School,Golf Links Road Barwon Heads,-38.28119,144.484843
Beacon Point,Beacon Point Kindergarten,49-55 Centaurus Avenue Clifton Springs,Bellarine,Western Victoria,7.47,8.01,Beacon Point Kindergarten,49-55 Centaurus Avenue Clifton Springs,-38.148479,144.574848
Bealiba,Bealiba Primary School,Grant Street Bealiba,Ripon,Western Victoria,5.70,4.17,Bealiba Primary School,Grant Street Bealiba,-36.789485,143.552137
Beaufort,Beaufort Community Development Centre,1 Lawrence Street Beaufort,Ripon,Western Victoria,6.04,6.72,Beaufort Community Development Centre,1 Lawrence Street Beaufort,-37.427975,143.384244
Beeac,Beeac Primary School,35 Lang Street Beeac,Polwarth,Western Victoria,4.60,6.23,Beeac Primary School,35 Lang Street Beeac,-38.194067,143.643592
Bell Park,Bell Park North Primary School,Barton Street Bell Park,Lara,Western Victoria,6.90,6.71,Bell Park North Primary School,Barton Street Bell Park,-38.105572,144.335736
Bell Park South,Nelson Park School,49 Libau Avenue Bell Park,Lara,Western Victoria,7.28,7.51,Nelson Park School,49 Libau Avenue Bell Park,-38.113761,144.337929
Bellaire,Clairvaux Parish Hall,45 Reynolds Road Belmont,Geelong,Western Victoria,7.76,7.10,Clairvaux Parish Hall,45 Reynolds Road Belmont,-38.185669,144.323738
Bellbrae,Bellbrae Primary School,50 School Road Bellbrae,South Barwon,Western Victoria,27.27,19.92,Bellbrae Primary School,50 School Road Bellbrae,-38.333782,144.262198
Belmont,Kardinia Christian Church,119 Roslyn Road Belmont,Geelong,Western Victoria,11.29,8.58,Kardinia Christian Church,119 Roslyn Road Belmont,-38.174984,144.337936
Belmont North,Belmont Primary School,Mount Pleasant Road Belmont,Geelong,Western Victoria,13.34,11.37,Belmont Primary School,Mount Pleasant Road Belmont,-38.171154,144.342024
Birregurra,Birregurra Community Health Centre,28-30 Strachan Street Birregurra,Polwarth,Western Victoria,13.40,9.51,Birregurra Community Health Centre,28-30 Strachan Street Birregurra,-38.33628,143.786164
Black Hill,Black Hill Primary School,601 Chisholm Street Ballarat,Wendouree,Western Victoria,16.10,12.84,Black Hill Primary School,601 Chisholm Street Ballarat,-37.549415,143.869491
Bolwarra,Bolwarra Primary School,249 Henty Highway Bolwarra,South-West Coast,Western Victoria,4.79,4.51,Bolwarra Primary School,249 Henty Highway Bolwarra,-38.281644,141.613823
Bowenvale,Bowenvale Public Hall,Timor Road Bowenvale,Ripon,Western Victoria,2.40,4.78,Bowenvale Public Hall,Timor Road Bowenvale,-36.994584,143.713735
Branxholme,Branxholme Hall,McNicol Street Branxholme,Lowan,Western Victoria,3.70,8.02,Branxholme Hall,McNicol Street Branxholme,-37.85737,141.796613
Bridgewater,Bridgewater Hall,Eilden Street Bridgewater,Ripon,Western Victoria,4.62,0.00,Bridgewater Hall,Eilden Street Bridgewater,-36.60249,143.943944
Brim,Brim Memorial Hall,Swann Street Brim,Lowan,Western Victoria,2.40,0.00,Brim Memorial Hall,Swann Street Brim,-36.075956,142.41647
Britannia,St Patricks Catholic Primary School,11 Petrel Street Geelong West,Geelong,Western Victoria,14.29,10.12,St Patricks Catholic Primary School,11 Petrel Street Geelong West,-38.134839,144.346027
Buangor,Buangor Primary School,26 School Road Buangor,Ripon,Western Victoria,2.68,5.56,Buangor Primary School,26 School Road Buangor,-37.363959,143.174883
Bulmans,St Catherines Primary School,Bulmans Road Melton,Melton,Western Victoria,7.73,6.67,St Catherines Primary School,Bulmans Road Melton,-37.678441,144.550356
Bungaree,Bungaree Mechanics Institute,234 Bungaree-Wallace Road Bungaree,Buninyong,Western Victoria,2.88,5.46,Bungaree Mechanics Institute,234 Bungaree-Wallace Road Bungaree,-37.557598,144.001937
Buninyong,Buninyong Primary School,202 Simpson Street Buninyong,Buninyong,Western Victoria,14.59,13.95,Buninyong Primary School,202 Simpson Street Buninyong,-37.654132,143.88702
Byaduk,Byaduk Mechanics Institute,5748 Hamilton - Port Fairy Road Byaduk,Lowan,Western Victoria,8.00,3.19,Byaduk Mechanics Institute,5748 Hamilton - Port Fairy Road Byaduk,-37.95133,141.95585
Caledonian,Caledonian Primary School,Thompson Street Brown Hill,Wendouree,Western Victoria,11.81,9.62,Caledonian Primary School,Thompson Street Brown Hill,-37.555667,143.894759
Camperdown,Camperdown P-12 College,Wilson Street Camperdown,Polwarth,Western Victoria,5.77,5.66,Camperdown P-12 College,Wilson Street Camperdown,-38.23959,143.144529
Canadian,Canadian Lead Primary School,Otway Street South Ballarat,Buninyong,Western Victoria,10.68,10.40,Canadian Lead Primary School,Otway Street South Ballarat,-37.572949,143.877091
Cape Clear,Cape Clear Hall,Recreational Reserve Road Cape Clear,Buninyong,Western Victoria,5.65,2.94,Cape Clear Hall,Recreational Reserve Road Cape Clear,-37.788533,143.610525
